Value,Category,2016_Yield-Acre,2017_Yield-Acre,2018_Yield-Acre,2019_Yield-Acre,2020_Yield-Acre,Yield_units,Notes
0,NA,0,0,0,0,0,0,
1,Corn,188,203,213,205,199,bushels,
4, Sorghum,,,,,,,
6, Sunflowers,,,,,,,
12, Sweet Corn,,,,,,,
14,Mint,,,,120,120,pounds,Peppermint
21, Barley,107,95,101,104,110,bushels,
22,Durum Wheat,75,77,85,87,89,bushels,
23, Spring Wheat,87,85,95,89,91,bushels,
24, Winter Wheat,94,80,90,87,101,bushels,
25,Other Small Grains,,,,,,,
27, Rye,,,,,,,
28, Oats,83,71,84,92,102,bushels,
31,Canola,,,,,,,
33,Safflower,,,,,,,
35, Mustard,,,,,,,
36, Alfalfa,4.4,4,4.2,4.4,4.5,tons,
37, Other Hay/Non Alfalfa,2.2,2.4,2.1,2.3,2.5,tons,
41, Sugarbeets,41.4,39.2,40.5,39,40.5,tons,
42, Dry Beans,1920,1610,1710,2370,2410,pounds,
43, Potatoes,430,435,450,425,450,cwt,
44, Other Crops,,,,,,,
49, Onions,860,725,890,820,800,cwt,
53, Peas,2251.111111,1737.5,2204.761905,1900,2500,pounds,"weighted avg(Austiran winter peas, dry edible peas) for 2016-18, just dry peas for 2019-20"
56, Hops,1646,1974,1995,2034,1855,pounds,
57, Herbs,110,105,105,,,pounds,Peppermint
59, Sod/Grass Seed,,,,,,,
61, Fallow/Idle Cropland,0,0,0,0,0,,
66,Cherries,,,,,,,
67, Peaches,,,,,,,
68, Apples,,,,,,,
111,Open Water,0,0,0,0,0,0,
121,Developed,0,0,0,0,0,0,
122,Developed,0,0,0,0,0,0,
123,Developed,0,0,0,0,0,0,
124,Developed,0,0,0,0,0,0,
131,Barren Land,,,,,,,
142,Evergreen Forest,,,,,,,
152,Shrubland,1032.5,1020.8125,957.75,900.75,841.3125,pounds,From rangelands.app
176,Grassland/Pasture,1224.416667,1153.5,1004.75,1115.333333,882.8333333,pounds,From rangelands.app
190,Woody Wetlands,,,,,,,
195,Herbaceous Wetlands,,,,,,,
205, Triticale,,,,,,,
206, Carrots,,,,,,,
219, Greens,,,,,,,
225, Dbl Crop WinWht/Corn,282,283,303,292,300,bushels,"sum(WinterWheat, Corn) but actually taken from corn and wheat in R code"
227, Lettuce,,,,,,,
229,Pupkim ,,,,,,,
237,Dbl Crop Barley/Corn,295,298,314,309,309,bushels,"sum(Barley, Corn) but actually taken from corn and barley in R code"
246, Radishes,,,,,,,
247, Turnips,,,,,,,
